Cases,Deaths,Recovered,Province
1,0,0,Islamabad Capital Territory
2,0,0,Sindh
1,0,0,Islamabad Capital Territory
1,0,0,Sindh
1,0,0,Gilgit-Baltistan
0,0,1,Sindh
1,0,0,Sindh
6,0,0,Sindh
3,0,0,Sindh
1,0,0,Sindh
1,0,0,Sindh
1,0,0,Baluchistan
1,0,0,Gilgit-Baltistan
0,0,1,Sindh
1,0,0,Gilgit-Baltistan
1,0,0,Islamabad Capital Territory
1,0,1,Sindh
7,0,0,Baluchistan
13,0,0,Sindh
4,0,0,Sindh
1,0,0,Punjab
15,0,0,Khyber Pakhtunkhwa
1,1,0,Khyber Pakhtunkhwa
119,0,0,Sindh
26,0,0,Sindh
2,0,0,Sindh
1,0,0,Punjab
1,0,1,Islamabad Capital Territory
1,0,0,khyber Pakhtunkhwa
1,0,0,Khyber Pakhtunkhwa
15,0,0,Punjab
24,0,0,Sindh
5,0,0,Sindh
3,0,0,Punjab
1,0,0,khyber Pakhtunkhwa
1,0,0,Khyber Pakhtunkhwa
2,0,0,Baluchistan
1,0,0,Islamabad Capital Territory
2,0,0,Islamabad Capital Territory
5,0,0,Punjab
31,0,0,Sindh
5,0,0,Sindh
10,0,0,Gilgit-Baltistan
1,0,0,Khyber Pakhtunkhwa
1,1,0,Khyber Pakhtunkhwa
1,1,0,Khyber Pakhtunkhwa
1,0,0,Azad Jummu Kashmir
1,0,0,Punjab
8,0,0,Punjab
44,0,0,Punjab
37,0,1,Sindh
53,0,0,Baluchistan
2,0,0,Khyber Pakhtunkhwa
1,0,0,Khyber Pakhtunkhwa
4,0,0,Gilgit-Baltistan
4,0,0,Gilgit-Baltistan
5,0,0,Baluchistan
4,1,0,Sindh
1,0,0,Khyber Pakhtunkhwa
1,0,0,Federal Administration Tribal Area
1,0,0,Punjab
1,0,0,Punjab
3,0,0,Punjab
2,0,0,Punjab
7,0,0,Punjab
1,0,0,Gilgit-Baltistan
8,0,0,Gilgit-Baltistan
16,0,0,Sindh
3,0,0,Islamabad Capital Territory
12,0,0,Baluchistan
39,0,0,Sindh
0,0,3,Sindh
25,0,0,Gilgit-Baltistan
6,0,0,Punjab
38,0,0,Punjab
1,0,0,Punjab
4,0,0,Punjab
1,0,0,Khyber Pakhtunkhwa
1,0,0,Khyber Pakhtunkhwa
2,0,0,Khyber Pakhtunkhwa
1,0,0,Khyber Pakhtunkhwa
1,0,0,Khyber Pakhtunkhwa
4,0,0,Gilgit-Baltistan
18,0,0,Sindh
23,0,0,Sindh
1,0,0,Islamabad Capital Territory
15,0,0,Punjab
1,0,0,Punjab
1,0,0,Punjab
43,0,0,Punjab
4,1,0,Baluchistan
7,0,0,Sindh
11,0,0,Sindh
1,0,0,Sindh
5,0,0,Baluchistan
16,1,0,Gilgit-Baltistan
25,0,0,Punjab
16,0,0,Punjab
1,0,0,Khyber Pakhtunkhwa
8,0,6,Sindh
8,0,0,Sindh
3,0,10,Sindh
5,0,0,Gilgit-Baltistan
37,0,0,Khyber Pakhtunkhwa
1,0,0,Federal Administration Tribal Area
2,0,0,Khyber Pakhtunkhwa
2,0,0,Baluchistan
7,0,0,Punjab
1,0,0,Punjab
9,0,0,Punjab
3,0,0,Punjab
1,0,0,Punjab
1,0,0,Punjab
1,0,0,Punjab
1,0,0,Punjab
3,0,0,Sindh
21,1,2,Punjab
5,0,0,Islamabad Capital Territory
3,0,0,Sindh
0,0,1,Sindh
9,0,0,Baluchistan
1,0,0,Gilgit-Baltistan
39,0,2,Khyber Pakhtunkhwa
1,0,0,Khyber Pakhtunkhwa
1,0,0,Khyber Pakhtunkhwa
9,0,0,Punjab
1,0,0,Punjab
2,1,0,Punjab
18,0,1,Punjab
1,0,0,Punjab
12,0,0,Baluchistan
7,0,0,Gilgit-Baltistan
1,0,0,Gilgit-Baltistan
2,0,0,Khyber Pakhtunkhwa
1,0,0,Khyber Pakhtunkhwa
1,0,0,Azad Jummu Kashmir
5,0,0,Islamabad Capital Territory
9,0,0,Sindh
6,0,2,Khyber Pakhtunkhwa
12,0,0,Baluchistan
7,0,2,Gilgit-Baltistan
26,0,1,Punjab
16,0,0,Punjab
1,0,0,Punjab
16,0,0,Punjab
12,0,0,Punjab
2,0,0,Punjab
2,0,0,Punjab
2,0,0,Punjab
1,0,0,Punjab
1,0,0,Punjab
1,0,0,Punjab
1,0,0,Punjab
7,1,0,Punjab
2,0,0,Islamabad Capital Territory
11,0,1,Gilgit-Baltistan
5,0,0,Gilgit-Baltistan
7,0,0,Sindh
4,0,1,Sindh
7,0,0,Khyber Pakhtunkhwa
2,0,0,Khyber Pakhtunkhwa
3,0,0,Khyber Pakhtunkhwa
1,0,0,Khyber Pakhtunkhwa
3,0,0,Khyber Pakhtunkhwa
1,0,0,Khyber Pakhtunkhwa
34,0,0,Khyber Pakhtunkhwa
3,0,0,Khyber Pakhtunkhwa
2,0,0,Khyber Pakhtunkhwa
3,0,0,Khyber Pakhtunkhwa
2,0,0,Punjab
2,0,0,Punjab
30,2,1,Punjab
0,0,2,Baluchistan
1,0,0,Punjab
